LU,post_id,gold
problem,26031285_gab,0
nazis,26031285_gab,0
difference,26031285_gab,0
discussion,19346774_gab,0
want,19346774_gab,0
facebook,19346774_gab,0
beaner,19346774_gab,0
anyone,14104384_gab,0
care,14104384_gab,0
nigger,14104384_gab,1
photo,15284640_gab,0
look,15284640_gab,0
spic,15284640_gab,1
sounds,12533510_gab,0
kike,12533510_gab,1
socialist,12533510_gab,0
saw,19897606_gab,0
couple,19897606_gab,0
victim,19897606_gab,0
list,19897606_gab,0
ya,19897606_gab,0
info,19897606_gab,0
thought,19897606_gab,0
school,19897606_gab,0
half,19897606_gab,0
spic,19897606_gab,1
elite,14580398_gab,0
import,14580398_gab,0
iq,14580398_gab,0
moslem,14580398_gab,0
welfare,14580398_gab,0
section,14580398_gab,0
<number>,14580398_gab,0
homeless,14580398_gab,0
need,14580398_gab,0
taxpayer,14580398_gab,0
paid,14580398_gab,0
use,14580398_gab,0
homes,14580398_gab,0
negro,18853541_gab,1
moslem,18853541_gab,1
doctor,18853541_gab,1
<number>,18853541_gab,0
year,18853541_gab,0
kid,18853541_gab,0
syndrome,18853541_gab,0
response,18853541_gab,0
help,18853541_gab,0
promote,18853541_gab,0
crowd,18853541_gab,0
funding,18853541_gab,0
campaign,18853541_gab,0
princess,1160287365384101888_twitter,0
dyke,1160287365384101888_twitter,1
threw,1160287365384101888_twitter,0
teach,1105268381341675520_twitter,0
paint,1105268381341675520_twitter,0
wanna,1165747950733135872_twitter,0
meet,1165747950733135872_twitter,0
bitch,1165747950733135872_twitter,0
cuz,1163507718436601857_twitter,0
sex,1165819983701643266_twitter,0
bitch,1165819983701643266_twitter,1
bitches,1170428282313068550_twitter,1
fine,1170428282313068550_twitter,0
niggas,1170428282313068550_twitter,0
<user>,1178728588390096897_twitter,0
yeah,1178728588390096897_twitter,0
people,1178728588390096897_twitter,0
fall,1178728588390096897_twitter,0
society,1178728588390096897_twitter,0
standard,1178728588390096897_twitter,0
theres,1178728588390096897_twitter,0
reason,1178728588390096897_twitter,0
lot,1178728588390096897_twitter,0
queer,1178728588390096897_twitter,0
trans,1178728588390096897_twitter,0
ppl,1178728588390096897_twitter,0
talk,1178728588390096897_twitter,0
bit,1178728588390096897_twitter,0
sexuality,1178728588390096897_twitter,0
spaces,1178728588390096897_twitter,0
feel,1178728588390096897_twitter,0
<user>,1178376939117121537_twitter,0
room,1178376939117121537_twitter,0
folks,1178376939117121537_twitter,0
play,1178422013238620162_twitter,0
game,1178422013238620162_twitter,0
month,1178422013238620162_twitter,0
players,1178422013238620162_twitter,0
people,1178422013238620162_twitter,0
faggots,1178422013238620162_twitter,0
kill,1178422013238620162_twitter,0
oh,1178422013238620162_twitter,0
boy,1178422013238620162_twitter,0
gotta,1178422013238620162_twitter,0
<user>,1179074027920474112_twitter,0
shoe,1179074027920474112_twitter,0
foot,1179074027920474112_twitter,0
mean,1179074027920474112_twitter,0
blacks,1179074027920474112_twitter,0
jews,1179074027920474112_twitter,0
pay,1179074027920474112_twitter,0
taxes,1179074027920474112_twitter,0
birth,1179074027920474112_twitter,0
babies,1179074027920474112_twitter,0
<user>,1178988537066262528_twitter,0
irony,1178988537066262528_twitter,0
ones,1178988537066262528_twitter,0
mothers,1178988537066262528_twitter,0
invaders,1178988537066262528_twitter,0
<user>,1179072857902596096_twitter,0
fraud,1179072857902596096_twitter,0
cult,1179072857902596096_twitter,0
<user>,1178396130385645568_twitter,0
idea,1178396130385645568_twitter,0
women,1178396130385645568_twitter,0
credit,1178396130385645568_twitter,0
impeachment,1178396130385645568_twitter,0
hits,1178396130385645568_twitter,0
told,1178396130385645568_twitter,0
job,1178396130385645568_twitter,0
congress,1178396130385645568_twitter,0
baby,1178767493952933894_twitter,0
faggot,1178767493952933894_twitter,1
shameless,1178767493952933894_twitter,0
<user>,1178402978031521793_twitter,0
babies,1178402978031521793_twitter,0
environment,1178402978031521793_twitter,0
supremacists,1178402978031521793_twitter,0
gold,1178402978031521793_twitter,0
star,1178402978031521793_twitter,0
families,1178402978031521793_twitter,0
shithole,1178402978031521793_twitter,0
countries,1178402978031521793_twitter,0
response,1178402978031521793_twitter,0
blame,1162817415685857280_twitter,0
rats,1162817415685857280_twitter,0
drunk,1162817415685857280_twitter,0
instagram,1174019973871632384_twitter,0
fashion,1174019973871632384_twitter,0
men,1174019973871632384_twitter,0
style,1174019973871632384_twitter,0
trend,1174019973871632384_twitter,0
catch,1178715715299352577_twitter,0
pull,1178715715299352577_twitter,0
hoes,1178715715299352577_twitter,0
niggas,1083141129254694912_twitter,0
cry,1083141129254694912_twitter,0
complain,1083141129254694912_twitter,0
think,1083141129254694912_twitter,0
females,1083141129254694912_twitter,0
relationship,1083141129254694912_twitter,0
nigga,1087858194519601152_twitter,0
shit,1087858194519601152_twitter,0
mad,1087858194519601152_twitter,0
bitches,1087858194519601152_twitter,0
tonight,1087858194519601152_twitter,0
kids,1117069735126921216_twitter,0
<user>,1179044244465606656_twitter,0
time,1179044244465606656_twitter,0
men,1179044244465606656_twitter,0
demand,1179044244465606656_twitter,0
look,1179044244465606656_twitter,0
tweets,1179044244465606656_twitter,0
series,1179044244465606656_twitter,0
people,1179044244465606656_twitter,0
nazis,1179044244465606656_twitter,0
children,1179044244465606656_twitter,0
jail,1179044244465606656_twitter,0
<user>,1179105177443454982_twitter,0
anything,1179105177443454982_twitter,0
trans,1179105177443454982_twitter,0
woman,1179105177443454982_twitter,0
color,1179105177443454982_twitter,0
queer,1179105177443454982_twitter,0
things,1179105177443454982_twitter,0
cases,1179105177443454982_twitter,0
none,1179105177443454982_twitter,0
fellow,1179092969531596800_twitter,0
negroes,1179092969531596800_twitter,0
advice,1179092969531596800_twitter,0
dont,1179092969531596800_twitter,0
show,1179092969531596800_twitter,0
christian,1179092969531596800_twitter,0
schools,1179092969531596800_twitter,0
romans,1179092969531596800_twitter,0
christians,1179092969531596800_twitter,0
fed,1179092969531596800_twitter,0
dick,1179089882095874048_twitter,1
dont,1179089882095874048_twitter,0
ass,1179089882095874048_twitter,0
fuck,1179089882095874048_twitter,0
club,1179089882095874048_twitter,0
faggot,1179089882095874048_twitter,1
<user>,1179089882095874048_twitter,0
<user>,1179102626207686657_twitter,0
way,1179102626207686657_twitter,0
redneck,1179102626207686657_twitter,0
jesus,1179102626207686657_twitter,0
flag,24760322_gab,0
maga,24760322_gab,0
fags,24760322_gab,1
nigger,24760322_gab,1
shoes,24760322_gab,0
hear,22421440_gab,0
privilege,22421440_gab,0
time,22421440_gab,0
life,22421440_gab,0
muslim,22421440_gab,1
jewish,22421440_gab,1
faggot,22421440_gab,1
feminist,22421440_gab,1
queer,22421440_gab,1
gay,22421440_gab,1
dike,22421440_gab,1
transgender,22421440_gab,1
piece,22421440_gab,1
shit,22421440_gab,1
words,22421440_gab,0
everything,22421440_gab,0
dumb,19364824_gab,0
nigger,19364824_gab,1
proven,13799524_gab,0
gender,13799524_gab,0
profile,13799524_gab,0
pic,13799524_gab,0
way,13799524_gab,0
oh,13799524_gab,0
im,13799524_gab,0
nigger,13799524_gab,1
figure,16637220_gab,0
way,16637220_gab,0
kike,16637220_gab,1
<user>,4120510_gab,0
cunt,4120510_gab,0
nigger,4120510_gab,1
shit,4120510_gab,0
asshole,4120510_gab,0
jew,4120510_gab,1
kike,4120510_gab,1
ok,16495970_gab,0
defense,16495970_gab,0
nigger,16495970_gab,1
dogs,16495970_gab,0
tell,16495970_gab,0
lol,16495970_gab,0
bet,16495970_gab,0
gonna,16495970_gab,0
sound,16495970_gab,0
mudshark,16495970_gab,1
niggers,16495970_gab,1
<user>,12288710_gab,0
people,12288710_gab,0
agency,12288710_gab,0
mudslime,12288710_gab,1
sandniggers,12288710_gab,1
kill,12288710_gab,0
random,12288710_gab,0
voice,12288710_gab,0
left,12288710_gab,0
violence,12288710_gab,0
journalists,12288710_gab,0
google,12288710_gab,0
weev,12288710_gab,0
nothing,12288710_gab,0
hitler,12288710_gab,0
<user>,2992367_gab,0
kike,2992367_gab,1
jew,27064690_gab,1
disease,27064690_gab,0
needs,27064690_gab,0
folk,27064690_gab,0
subhuman,27064690_gab,1
nigger,27064690_gab,1
arab,27064690_gab,1
foot,27064690_gab,1
soldiers,27064690_gab,0
enemy,27064690_gab,0
pro,25160519_gab,0
christians,25160519_gab,0
africa,25160519_gab,0
belong,25160519_gab,0
subversive,25160519_gab,0
pieces,25160519_gab,0
shit,25160519_gab,0
advantage,25160519_gab,0
civilization,25160519_gab,0
opening,25160519_gab,0
gates,25160519_gab,0
niggers,25160519_gab,1
need,25160519_gab,0
standards,25160519_gab,0
bottom,25160519_gab,0
line,25160519_gab,0
nigger,25160519_gab,1
level,25160519_gab,0
iqs,25160519_gab,0
weight,25160519_gab,0
sand,13534065_gab,1
nigger,13534065_gab,1
hey,13534065_gab,0
hope,13534065_gab,0
sweet,13534065_gab,0
daughters,13534065_gab,0
brought,13534065_gab,0
scum,13534065_gab,0
couple,5529774_gab,0
filthy,5529774_gab,1
dykes,5529774_gab,1
want,5529774_gab,0
law,5529774_gab,0
time,5529774_gab,0
start,5529774_gab,0
gonna,5529774_gab,0
<user>,2401168_gab,0
animals,2401168_gab,0
people,2401168_gab,0
coons,2401168_gab,0
call,2401168_gab,0
liberals,2401168_gab,0
definition,2401168_gab,0
feminist,2401168_gab,0
lol,24977683_gab,0
wear,24977683_gab,0
pos,24977683_gab,1
muzzies,24977683_gab,1
scum,24977683_gab,0
reminds,10504469_gab,0
college,10504469_gab,0
help,10504469_gab,0
kike,10504469_gab,1
family,10504469_gab,0
house,10504469_gab,0
father,10504469_gab,0
court,10504469_gab,0
judge,10504469_gab,0
students,10504469_gab,0
families,10504469_gab,0
damn,20659618_gab,0
dat,20659618_gab,0
wetback,20659618_gab,1
needs,20659618_gab,0
day,14564271_gab,0
blah,14564271_gab,0
kike,14564271_gab,1
dream,14564271_gab,0
cheese,14564271_gab,0
boy,14564271_gab,0
bed,14564271_gab,0
school,14564271_gab,0
night,14564271_gab,0
shoes,1098403782088634368_twitter,0
power,1098403782088634368_twitter,0
jack,1098403782088634368_twitter,0
game,1098403782088634368_twitter,0
girl,1122710738450227203_twitter,0
giant,1122710738450227203_twitter,0
woman,1122710738450227203_twitter,0
night,1122710738450227203_twitter,0
king,1122710738450227203_twitter,0
hoe,1164757864306528256_twitter,0
pictures,1178458239563976704_twitter,0
women,1178458239563976704_twitter,0
sex,1178458239563976704_twitter,0
online,1178458239563976704_twitter,0
chat,1178458239563976704_twitter,0
sites,1178458239563976704_twitter,0
top,1178458239563976704_twitter,0
<number>,1178458239563976704_twitter,0
<user>,1162380646062403588_twitter,0
dude,1162380646062403588_twitter,0
hoes,1162380646062403588_twitter,0
bro,1162594605868576768_twitter,0
hoe,1162594605868576768_twitter,0
ion,1174170561968267267_twitter,0
hang,1174170561968267267_twitter,0
wit,1174170561968267267_twitter,0
bitches,1174170561968267267_twitter,1
niggas,1174170561968267267_twitter,0
insecure,1174170561968267267_twitter,0
cat,1171703732406489088_twitter,0
dicks,1171703732406489088_twitter,0
lmao,1178444478023180289_twitter,0
suck,1178444478023180289_twitter,0
niggas,1178444478023180289_twitter,0
city,1178444478023180289_twitter,0
niggers,1174145333212930049_twitter,1
need,1174145333212930049_twitter,0
sack,1174145333212930049_twitter,0
tweet,1174145333212930049_twitter,0
nigger,1174145333212930049_twitter,0
gap,1117963226719764480_twitter,0
girls,1178929214399172608_twitter,0
rude,1178929214399172608_twitter,0
bullshit,1178929214399172608_twitter,0
women,1178929214399172608_twitter,0
youtube,1178929214399172608_twitter,0
amongst,1178929214399172608_twitter,0
girls,1179100689361977344_twitter,0
mix,1179100689361977344_twitter,0
slut,1179100689361977344_twitter,0
death,1178956701233483778_twitter,0
penalty,1178956701233483778_twitter,0
time,1178956701233483778_twitter,0
cases,1178956701233483778_twitter,0
state,1178956701233483778_twitter,0
law,1178956701233483778_twitter,0
middle,1178956701233483778_twitter,0
east,1178956701233483778_twitter,0
theory,1178956701233483778_twitter,0
everything,1178956701233483778_twitter,0
reality,1178956701233483778_twitter,0
things,1178956701233483778_twitter,0
muzrat,17827276_gab,1
strategy,17827276_gab,0
country,17827276_gab,0
lady,1178562125117173760_twitter,0
drive,1178562125117173760_twitter,0
car,1178562125117173760_twitter,0
apartment,1178562125117173760_twitter,0
beautiful,1178562125117173760_twitter,0
fun,1178562125117173760_twitter,0
weekend,1178562125117173760_twitter,0
wake,1178562125117173760_twitter,0
guy,1178562125117173760_twitter,0
bed,1178562125117173760_twitter,0
cry,1178562125117173760_twitter,0
claim,1178562125117173760_twitter,0
sex,1178562125117173760_twitter,0
wtf,1178562125117173760_twitter,0
pc,1179066858433064961_twitter,0
group,1179066858433064961_twitter,0
bts,1179066858433064961_twitter,0
<user>,1179066858433064961_twitter,0
retweet,1179066858433064961_twitter,0
army,1179066858433064961_twitter,0
hate,1179066858433064961_twitter,0
dm,1178029165603426304_twitter,0
faggots,1178029165603426304_twitter,1
cash,1178029165603426304_twitter,0
fag,1178029165603426304_twitter,0
master,1178029165603426304_twitter,0
slave,1178029165603426304_twitter,0
ghetto,1179070248470888448_twitter,0
sign,1179070248470888448_twitter,0
sorry,18743549_gab,0
nigger,18743549_gab,1
comment,18743549_gab,0
blacks,18743549_gab,0
niggers,18743549_gab,1
spooky,1179000400810168320_twitter,0
bitch,1179000400810168320_twitter,0
nd,23463421_gab,0
<percent>,23463421_gab,0
nigger,23463421_gab,1
jewish,23463421_gab,0
culture,23463421_gab,0
account,23463421_gab,0
thanks,23463421_gab,0
jews,23463421_gab,0
nigger,1178780987049889794_twitter,1
lips,1178780987049889794_twitter,0
phone,1178780987049889794_twitter,0
wtf,1178780987049889794_twitter,0
fuck,1178650031076909056_twitter,0
deal,1178650031076909056_twitter,0
queer,1178650031076909056_twitter,0
guys,1178650031076909056_twitter,0
wore,1179053462463635456_twitter,0
blue,1179053462463635456_twitter,0
suit,1179053462463635456_twitter,0
today,1179053462463635456_twitter,0
niggers,1179053462463635456_twitter,0
work,1179053462463635456_twitter,0
place,1179053462463635456_twitter,0
feel,1179053462463635456_twitter,0
energy,1179053462463635456_twitter,0
refugee,1179079421619097600_twitter,0
migrant,1179079421619097600_twitter,0
victim,1179079421619097600_twitter,0
persecution,1179079421619097600_twitter,0
migrants,1179079421619097600_twitter,0
victims,1179079421619097600_twitter,0
citizenship,1179079421619097600_twitter,0
act,1179079421619097600_twitter,0
refugees,1179079421619097600_twitter,0
life,1179079421619097600_twitter,0
<user>,1179079421619097600_twitter,0
<user>,1178082052513468417_twitter,0
camel,1178082052513468417_twitter,0
jockey,1178082052513468417_twitter,0
east,1178082052513468417_twitter,0
station,1178082052513468417_twitter,0
look,1178822517470965766_twitter,0
create,1178016367200624640_twitter,0
list,1178016367200624640_twitter,0
violence,1178016367200624640_twitter,0
<user>,1178504094530424833_twitter,0
faggot,1178504094530424833_twitter,1
suck,1178504094530424833_twitter,0
inch,1178504094530424833_twitter,0
cock,1178504094530424833_twitter,0
thru,1178504094530424833_twitter,0
navy,1178504094530424833_twitter,0
jeans,1178504094530424833_twitter,0
hate,1178503399962300416_twitter,0
niggers,1178503399962300416_twitter,1
niggers,1178477971960672257_twitter,1
bitches,1178819339631431680_twitter,1
<user>,1178819339631431680_twitter,0
dumb,1178819339631431680_twitter,0
hoe,1178819339631431680_twitter,1
<user>,1179099146432724992_twitter,0
slut,1179099146432724992_twitter,1
day,1179099146432724992_twitter,0
man,1178382366080950276_twitter,0
hate,1178382366080950276_twitter,1
niggers,1178382366080950276_twitter,1
hop,26478596_gab,0
jew,26478596_gab,0
yes,26478596_gab,0
bet,26478596_gab,0
play,26478596_gab,0
part,26478596_gab,0
conclusion,26478596_gab,0
fit,26478596_gab,0
role,26478596_gab,0
okay,26478596_gab,0
gook,26478596_gab,1
wage,26478596_gab,0
yid,20055204_gab,0
ima,1179039985175060486_twitter,0
bitch,1179039985175060486_twitter,0
admit,1179039985175060486_twitter,0
man,1179032044610801666_twitter,0
force,1179032044610801666_twitter,0
shot,1179032044610801666_twitter,0
men,1179032044610801666_twitter,0
muslim,1179032044610801666_twitter,0
officer,1179032044610801666_twitter,0
bomb,1179032044610801666_twitter,0
blast,1179032044610801666_twitter,0
sunday,1179032044610801666_twitter,0
day,1179032044610801666_twitter,0
people,1179032044610801666_twitter,0
queer,1178783381934526465_twitter,0
joker,1181347183880224769_twitter,0
weird,1181347183880224769_twitter,0
episode,1181347183880224769_twitter,0
way,1181347183880224769_twitter,0
film,1181347183880224769_twitter,0
phoenix,1181347183880224769_twitter,0
brilliant,1181347183880224769_twitter,0
nigger,1117488989362098177_twitter,1
uk,1117488989362098177_twitter,0
hoes,1116946053478125571_twitter,1
stole,1116946053478125571_twitter,0
look,1116946053478125571_twitter,0
lmfao,1116946053478125571_twitter,0
team,1181224026519359490_twitter,0
name,1181224026519359490_twitter,0
washington,1181224026519359490_twitter,0
colors,1181224026519359490_twitter,0
blue,1181224026519359490_twitter,0
dc,1181224026519359490_twitter,0
president,1181224026519359490_twitter,0
anybody,1181224026519359490_twitter,0
niggas,1083159533848023041_twitter,0
ones,1083159533848023041_twitter,0
dollar,1083159533848023041_twitter,0
tree,1083159533848023041_twitter,0
smh,1083159533848023041_twitter,0
tfw,1091106800408190976_twitter,0
jews,1091106800408190976_twitter,0
want,1091106800408190976_twitter,0
ban,1091106800408190976_twitter,0
<censored>,1091106800408190976_twitter,0
agree,1091106800408190976_twitter,0
change,1091106800408190976_twitter,0
nigger,15801100_gab,1
mlk,15801100_gab,0
day,15801100_gab,0
im,1177985601628442630_twitter,0
pants,1177985601628442630_twitter,0
look,1177985601628442630_twitter,0
faggot,1177985601628442630_twitter,0
kill,1179024659813060609_twitter,0
<happy>,1179024659813060609_twitter,0
<user>,1179060032706465793_twitter,0
jihadi,1179060032706465793_twitter,0
terrorist,1179060032706465793_twitter,0
country,1179060032706465793_twitter,0
god,4105410_gab,0
bless,4105410_gab,0
james,4105410_gab,0
nigger,4105410_gab,1
mlk,4105410_gab,0
girls,4105410_gab,0
rapist,4105410_gab,0
cock,4105410_gab,0
maga,4105410_gab,0
<user>,1179019685771333634_twitter,0
things,1179019685771333634_twitter,0
<number>,1179019685771333634_twitter,0
girl,1179019685771333634_twitter,0
pain,1179019685771333634_twitter,0
degree,1179019685771333634_twitter,0
dig,1179019685771333634_twitter,0
ass,1178854367929106432_twitter,0
bitch,1178854367929106432_twitter,0
nigger,1178854367929106432_twitter,1
slave,1178854367929106432_twitter,1
teacher,1178854367929106432_twitter,0
faggot,1178854367929106432_twitter,1
peace,1178854367929106432_twitter,0
shit,1178854367929106432_twitter,0
suck,1178854367929106432_twitter,0
dick,1178854367929106432_twitter,0
god,1178799354737565697_twitter,0
niggers,1178799354737565697_twitter,1
night,1178799354737565697_twitter,0
forgot,1178799354737565697_twitter,0
paint,1178799354737565697_twitter,0
<user>,1178889620639105024_twitter,0
mouth,1178889620639105024_twitter,0
redneck,1178889620639105024_twitter,0
party,1178889620639105024_twitter,0
<user>,1178315185083297794_twitter,0
faggot,1178315185083297794_twitter,1
reason,1178315185083297794_twitter,0
u,1178315185083297794_twitter,0
gay,1178315185083297794_twitter,0
<user>,1178774802200485893_twitter,0
muslim,1178774802200485893_twitter,0
immigrant,1178774802200485893_twitter,0
man,1178774802200485893_twitter,0
europe,1178774802200485893_twitter,0
woman,1178774802200485893_twitter,0
thanks,1178774802200485893_twitter,0
help,1178774802200485893_twitter,0
<user>,1179105638644760576_twitter,0
pakistani,15391263_gab,0
moslem,15391263_gab,0
link,15391263_gab,0
terrorist,15391263_gab,0
want,15391263_gab,0
stop,15391263_gab,0
christian,15391263_gab,0
head,15391263_gab,0
state,15391263_gab,0
country,15391263_gab,0
mother,15391263_gab,0
born,15391263_gab,0
kike,23018207_gab,1
muzzies,25902138_gab,1
churches,25902138_gab,1
pass,25902138_gab,0
helps,25902138_gab,0
silent,25902138_gab,0
issues,25902138_gab,0
fear,25902138_gab,0
status,25902138_gab,0
mean,17402205_gab,0
amnesty,17402205_gab,0
mexicans,17402205_gab,0
chink,17402205_gab,0
mudshark,6645386_gab,1
diversity,6645386_gab,0
labour,18721090_gab,0
party,18721090_gab,0
<number>,18721090_gab,0
mps,18721090_gab,0
prison,18721090_gab,0
sex,18721090_gab,0
kids,18721090_gab,0
paki,18721090_gab,1
muslims,18721090_gab,1
voters,18721090_gab,0
pm,18721090_gab,0
vote,15885342_gab,0
<number>,15885342_gab,0
genocide,15885342_gab,1
arab,15885342_gab,1
nigger,15885342_gab,1
scum,15885342_gab,1
women,15885342_gab,0
people,15885342_gab,0
europe,15885342_gab,0
include,15885342_gab,0
traitors,15885342_gab,0
support,15885342_gab,0
destruction,15885342_gab,0
power,15885342_gab,0
moslem,10945897_gab,1
terrorist,10945897_gab,1
attack,10945897_gab,0
women,10945897_gab,0
men,10945897_gab,0
help,10945897_gab,0
cause,10945897_gab,0
stay,10945897_gab,0
carry,10945897_gab,0
air,16509030_gab,0
force,16509030_gab,0
thought,16509030_gab,0
dyke,16509030_gab,1
bitch,16509030_gab,1
ya,16509030_gab,0
opinions,16509030_gab,0
assholes,16509030_gab,0
sister,27513034_gab,0
sheboon,27513034_gab,1
friend,27513034_gab,0
blonde,27513034_gab,0
dude,27513034_gab,0
end,1187319264614801408_twitter,0
circle,1187319264614801408_twitter,0
violence,1187319264614801408_twitter,0
years,1187319264614801408_twitter,0
bring,1187319264614801408_twitter,0
ya,1080891149424836609_twitter,0
nigga,1080891149424836609_twitter,0
bitch,1080891149424836609_twitter,0
yo,1080891149424836609_twitter,0
friend,1080891149424836609_twitter,0
em,1179078556145668096_twitter,0
<user>,1180840067348205571_twitter,0
think,1180840067348205571_twitter,0
kill,1180840067348205571_twitter,0
food,1180840067348205571_twitter,0
source,1180840067348205571_twitter,0
system,1081879537145835520_twitter,0
retards,1081879537145835520_twitter,0
niggas,1170190402357465089_twitter,0
sheep,1178816603619758080_twitter,0
pig,1178816603619758080_twitter,0
america,1179004578618060800_twitter,0
<number>,1179004578618060800_twitter,0
years,1179004578618060800_twitter,0
feel,1179004578618060800_twitter,0
bitch,1179004578618060800_twitter,0
someone,1179094490163884032_twitter,0
dyke,1179094490163884032_twitter,0
kill,1179094490163884032_twitter,0
lol,22676555_gab,0
load,22676555_gab,0
kike,22676555_gab,1
pls,9831315_gab,0
call,9831315_gab,0
coon,9831315_gab,1
living,9831315_gab,0
use,9831315_gab,0
<user>,1179094410312785920_twitter,0
government,1179094410312785920_twitter,0
spoken,1179094410312785920_twitter,0
anti,1179094410312785920_twitter,0
arab,1179094410312785920_twitter,0
racism,1179094410312785920_twitter,0
poc,1179094410312785920_twitter,0
supremacy,1179094410312785920_twitter,0
supremacists,1179094410312785920_twitter,0
non,1179094410312785920_twitter,0
jews,1179094410312785920_twitter,0
arabs,1179094410312785920_twitter,0
